variant	run	path	req_idx	time_seconds
on	1	/api/v3/auth/login	1	0.057366
on	1	/api/v3/auth/login	2	0.019216
on	1	/api/v3/auth/login	3	0.014669
on	1	/api/v3/items	1	0.033070
on	1	/api/v3/items	2	0.019605
on	1	/api/v3/items	3	0.012139
on	1	/api/v3/orders/0	1	0.033615
on	1	/api/v3/orders/0	2	0.051337
on	1	/api/v3/orders/0	3	0.046621
on	1	/api/v3/wallet/point	1	0.016596
on	1	/api/v3/wallet/point	2	0.166813
on	1	/api/v3/wallet/point	3	0.008724
on	2	/api/v3/auth/login	1	0.058350
on	2	/api/v3/auth/login	2	0.011537
on	2	/api/v3/auth/login	3	0.058626
on	2	/api/v3/items	1	0.040082
on	2	/api/v3/items	2	0.044398
on	2	/api/v3/items	3	0.014287
on	2	/api/v3/orders/0	1	0.098841
on	2	/api/v3/orders/0	2	1.000352
on	2	/api/v3/orders/0	3	0.255517
on	2	/api/v3/wallet/point	1	0.101316
on	2	/api/v3/wallet/point	2	0.053714
on	2	/api/v3/wallet/point	3	0.012381
on	3	/api/v3/auth/login	1	0.062840
on	3	/api/v3/auth/login	2	0.011471
on	3	/api/v3/auth/login	3	0.008662
on	3	/api/v3/items	1	0.024757
on	3	/api/v3/items	2	0.014944
on	3	/api/v3/items	3	0.127556
on	3	/api/v3/orders/0	1	0.052866
on	3	/api/v3/orders/0	2	0.013845
on	3	/api/v3/orders/0	3	0.011815
on	3	/api/v3/wallet/point	1	0.034213
on	3	/api/v3/wallet/point	2	0.003554
on	3	/api/v3/wallet/point	3	0.008153
off	1	/api/v3/auth/login	1	0.612692
off	1	/api/v3/auth/login	2	0.016575
off	1	/api/v3/auth/login	3	0.016039
off	1	/api/v3/items	1	0.923108
off	1	/api/v3/items	2	0.058715
off	1	/api/v3/items	3	0.016012
off	1	/api/v3/orders/0	1	0.379223
off	1	/api/v3/orders/0	2	0.049719
off	1	/api/v3/orders/0	3	0.018458
off	1	/api/v3/wallet/point	1	0.021050
off	1	/api/v3/wallet/point	2	0.008489
off	1	/api/v3/wallet/point	3	0.006078
off	2	/api/v3/auth/login	1	0.530872
off	2	/api/v3/auth/login	2	0.014610
off	2	/api/v3/auth/login	3	0.010802
off	2	/api/v3/items	1	0.952898
off	2	/api/v3/items	2	0.025672
off	2	/api/v3/items	3	0.030251
off	2	/api/v3/orders/0	1	0.373432
off	2	/api/v3/orders/0	2	0.023253
off	2	/api/v3/orders/0	3	0.031461
off	2	/api/v3/wallet/point	1	0.019286
off	2	/api/v3/wallet/point	2	0.002899
off	2	/api/v3/wallet/point	3	0.008539
off	3	/api/v3/auth/login	1	5.887363
off	3	/api/v3/auth/login	2	0.271871
off	3	/api/v3/auth/login	3	0.275209
off	3	/api/v3/items	1	1.906143
off	3	/api/v3/items	2	0.153346
off	3	/api/v3/items	3	0.372989
off	3	/api/v3/orders/0	1	3.201797
off	3	/api/v3/orders/0	2	0.293928
off	3	/api/v3/orders/0	3	0.197561
off	3	/api/v3/wallet/point	1	0.132047
off	3	/api/v3/wallet/point	2	0.007419
off	3	/api/v3/wallet/point	3	0.005899
